"OBJECTID","LAYER_NAME","FEATURE_VALUE"
211,CITY,New York
212,CITY,New York
213,CITY,New York
214,CITY,New York
215,CITY,New York
216,CITY,Brooklyn
217,CITY,Brooklyn
218,CITY,New York
219,CITY,New York
220,CITY,New York
221,CITY,New York
222,CITY,New York
223,CITY,New York
224,CITY,New York
225,CITY,New York
226,CITY,New York
227,CITY,New York
228,CITY,New York
229,CITY,New York
230,CITY,New York
231,CITY,New York
232,CITY,New York
233,CITY,New York
234,CITY,New York
235,CITY,New York
236,CITY,New York
237,CITY,New York
238,CITY,New York
239,CITY,New York
240,CITY,New York
241,CITY,New York
242,CITY,New York
243,CITY,New York
244,CITY,New York
245,CITY,New York
246,CITY,New York
247,CITY,New York
248,CITY,New York
249,CITY,New York
250,CITY,New York
251,CITY,New York
252,CITY,New York
253,CITY,New York
254,CITY,New York
255,CITY,New York
256,CITY,New York
257,CITY,New York
258,CITY,New York
259,CITY,New York
260,CITY,New York
261,CITY,New York
262,CITY,New York
263,CITY,New York
264,CITY,New York
265,CITY,New York
266,CITY,New York
267,CITY,New York
268,CITY,New York
269,CITY,New York
270,CITY,New York
1000939,POLICESECTOR,"107C"
1000940,POLICESECTOR,"107D"
1000941,POLICESECTOR,"24A"
1000942,POLICESECTOR,"24B"
1000817,POLICESECTOR,"52A"
1000818,POLICESECTOR,"52B"
1000819,POLICESECTOR,"52C"
1000820,POLICESECTOR,"52D"
1000821,POLICESECTOR,"71A"
1000822,POLICESECTOR,"71B"
1000823,POLICESECTOR,"71C"
1000824,POLICESECTOR,"71D"
1000825,POLICESECTOR,"79A"
1000826,POLICESECTOR,"79B"
1000827,POLICESECTOR,"79C"
1000881,POLICESECTOR,"90C"
1000882,POLICESECTOR,"90D"
1000883,POLICESECTOR,"10A"
1000884,POLICESECTOR,"10B"
1000885,POLICESECTOR,"10C"
1000886,POLICESECTOR,"122A"
1000887,POLICESECTOR,"122B"
1000888,POLICESECTOR,"122C"
1000889,POLICESECTOR,"30A"
1000037,POLICESECTOR,"32A"
1000038,POLICESECTOR,"32B"
1000041,POLICESECTOR,"33D"
1000042,POLICESECTOR,"34A"
1000828,POLICESECTOR,"79D"
1000890,POLICESECTOR,"30B"
1000891,POLICESECTOR,"30C"
1000892,POLICESECTOR,"90A"
1000893,POLICESECTOR,"90B"
1000943,POLICESECTOR,"24C"
1000944,POLICESECTOR,"49A"
1000945,POLICESECTOR,"49B"
1000946,POLICESECTOR,"49C"
1000947,POLICESECTOR,"61A"
1000948,POLICESECTOR,"61B"
1000949,POLICESECTOR,"61C"
1000950,POLICESECTOR,"61D"
1000951,POLICESECTOR,"6A"
1000952,POLICESECTOR,"6B"
1000953,POLICESECTOR,"6C"
1000954,POLICESECTOR,"6D"
1000043,POLICESECTOR,"34B"
1000044,POLICESECTOR,"34C"
1000045,POLICESECTOR,"34D"
1000144,POLICESECTOR,"32D"
1000145,POLICESECTOR,"33A"
1000146,POLICESECTOR,"33B"
1000147,POLICESECTOR,"33C"
1000390,POLICESECTOR,"113A"
1000391,POLICESECTOR,"113B"
1000392,POLICESECTOR,"113C"
1000393,POLICESECTOR,"113D"
1300,SANITATIONDISTRICT,"412"
1301,SANITATIONDISTRICT,"412"
1302,SANITATIONDISTRICT,"412"
1303,SANITATIONDISTRICT,"412"
1304,SANITATIONDISTRICT,"412"
1305,SANITATIONDISTRICT,"406"
1306,SANITATIONDISTRICT,"406"
1307,SANITATIONDISTRICT,"409"
1308,SANITATIONDISTRICT,"409"
1309,SANITATIONDISTRICT,"409"
1310,SANITATIONDISTRICT,"409"
1311,SANITATIONDISTRICT,"414"
1312,SANITATIONDISTRICT,"414"
1313,SANITATIONDISTRICT,"414"
1314,SANITATIONDISTRICT,"102"
1315,SANITATIONDISTRICT,"103"
1316,SANITATIONDISTRICT,"103"
1317,SANITATIONDISTRICT,"103"
1318,SANITATIONDISTRICT,"103"
1319,SANITATIONDISTRICT,"104"
1320,SANITATIONDISTRICT,"104"
1321,SANITATIONDISTRICT,"105"
1322,SANITATIONDISTRICT,"105"
1323,SANITATIONDISTRICT,"196"
1324,SANITATIONDISTRICT,"106"
1325,SANITATIONDISTRICT,"106"
1326,SANITATIONDISTRICT,"108"
1327,SANITATIONDISTRICT,"108"
1328,SANITATIONDISTRICT,"108"
1329,SANITATIONDISTRICT,"107"
1330,SANITATIONDISTRICT,"107"
1331,SANITATIONDISTRICT,"107"
1332,SANITATIONDISTRICT,"109"
1333,SANITATIONDISTRICT,"109"
1334,SANITATIONDISTRICT,"109"
1335,SANITATIONDISTRICT,"110"
1336,SANITATIONDISTRICT,"110"
1337,SANITATIONDISTRICT,"110"
1338,SANITATIONDISTRICT,"111"
1339,SANITATIONDISTRICT,"111"
1340,SANITATIONDISTRICT,"111"
1341,SANITATIONDISTRICT,"112"
1342,SANITATIONDISTRICT,"112"
1343,SANITATIONDISTRICT,"404"
1344,SANITATIONDISTRICT,"404"
1345,SANITATIONDISTRICT,"404"
1346,SANITATIONDISTRICT,"405"
1347,SANITATIONDISTRICT,"405"
1348,SANITATIONDISTRICT,"405"
1349,SANITATIONDISTRICT,"407"
1350,SANITATIONDISTRICT,"407"
1351,SANITATIONDISTRICT,"411"
1352,SANITATIONDISTRICT,"411"
1353,SANITATIONDISTRICT,"411"
1354,SANITATIONDISTRICT,"411"
1355,SANITATIONDISTRICT,"207"
1356,SANITATIONDISTRICT,"205"
1357,SANITATIONDISTRICT,"205"
1358,SANITATIONDISTRICT,"205"
1359,SANITATIONDISTRICT,"204"
1360,SANITATIONDISTRICT,"204"
1361,SANITATIONDISTRICT,"204"
1362,SANITATIONDISTRICT,"203"
1363,SANITATIONDISTRICT,"202"
1364,SANITATIONDISTRICT,"201"
1365,SANITATIONDISTRICT,"411"
1366,SANITATIONDISTRICT,"408"
1367,SANITATIONDISTRICT,"408"
1368,SANITATIONDISTRICT,"208"
1369,SANITATIONDISTRICT,"207"
1370,SANITATIONDISTRICT,"207"
1371,SANITATIONDISTRICT,"407"
1372,SANITATIONDISTRICT,"407"
1373,SANITATIONDISTRICT,"407"
1374,SANITATIONDISTRICT,"407"
1375,SANITATIONDISTRICT,"407"
1376,SANITATIONDISTRICT,"316"
1377,SANITATIONDISTRICT,"503"
1378,SANITATIONDISTRICT,"503"
1379,SANITATIONDISTRICT,"503"
1380,SANITATIONDISTRICT,"503"
1381,SANITATIONDISTRICT,"503"
1382,SANITATIONDISTRICT,"503"
1383,SANITATIONDISTRICT,"503"
1384,SANITATIONDISTRICT,"503"
1385,SANITATIONDISTRICT,"112"
1386,SANITATIONDISTRICT,"107"
1387,SANITATIONDISTRICT,"107"
1388,SANITATIONDISTRICT,"108"
1389,SANITATIONDISTRICT,"102"
1390,SANITATIONDISTRICT,"102"
1391,SANITATIONDISTRICT,"101"
1392,SANITATIONDISTRICT,"101"
1393,SANITATIONDISTRICT,"206"
1394,SANITATIONDISTRICT,"206"
1001009,POLICESECTOR,"19C"
1001010,POLICESECTOR,"19D"
1001011,POLICESECTOR,"18D"
1001012,POLICESECTOR,"18E"
1001013,POLICESECTOR,"104C"
1001014,POLICESECTOR,"104D"
1001015,POLICESECTOR,"108A"
1001016,POLICESECTOR,"108B"
1001017,POLICESECTOR,"108C"
1001018,POLICESECTOR,"108D"
1001019,POLICESECTOR,"13A"
1001020,POLICESECTOR,"13B"
1001021,POLICESECTOR,"13C"
1001022,POLICESECTOR,"13D"
1001023,POLICESECTOR,"14A"
1001024,POLICESECTOR,"14B"
1001025,POLICESECTOR,"14C"
1001026,POLICESECTOR,"14D"
1001027,POLICESECTOR,"14E"
1001028,POLICESECTOR,"18A"
1001029,POLICESECTOR,"18B"
1001030,POLICESECTOR,"18C"
1000303,POLICESECTOR,"22A"
1000304,POLICESECTOR,"22B"
1000305,POLICESECTOR,"22C"
1000306,POLICESECTOR,"22D"
1000307,POLICESECTOR,"22E"
1001031,POLICESECTOR,"104A"
1001032,POLICESECTOR,"104B"
1001033,POLICESECTOR,"19A"
1001034,POLICESECTOR,"19B"
1273,SANITATIONDISTRICT,"306"
1274,SANITATIONDISTRICT,"309"
1275,SANITATIONDISTRICT,"309"
1276,SANITATIONDISTRICT,"309"
1277,SANITATIONDISTRICT,"317"
1278,SANITATIONDISTRICT,"317"
1279,SANITATIONDISTRICT,"316"
1280,SANITATIONDISTRICT,"302"
1281,SANITATIONDISTRICT,"303"
1282,SANITATIONDISTRICT,"303"
1283,SANITATIONDISTRICT,"303"
1284,SANITATIONDISTRICT,"303"
1285,SANITATIONDISTRICT,"304"
1286,SANITATIONDISTRICT,"304"
1287,SANITATIONDISTRICT,"304"
1288,SANITATIONDISTRICT,"305"
1289,SANITATIONDISTRICT,"305"
1290,SANITATIONDISTRICT,"305"
1291,SANITATIONDISTRICT,"308"
1292,SANITATIONDISTRICT,"502"
1293,SANITATIONDISTRICT,"502"
1294,SANITATIONDISTRICT,"501"
1295,SANITATIONDISTRICT,"501"
1296,SANITATIONDISTRICT,"501"
1297,SANITATIONDISTRICT,"502"
1298,SANITATIONDISTRICT,"412"
1299,SANITATIONDISTRICT,"412"
1848,HOUSINGDISTRICT,"7"
1849,HOUSINGDISTRICT,"8"
1850,HOUSINGDISTRICT,"5"
1851,HOUSINGDISTRICT,"7"
1852,HOUSINGDISTRICT,"1"
1853,HOUSINGDISTRICT,"1"
1854,HOUSINGDISTRICT,"1"
1855,HOUSINGDISTRICT,"1"
1856,HOUSINGDISTRICT,"9"
1857,HOUSINGDISTRICT,"3"
1858,HOUSINGDISTRICT,"5"
1859,HOUSINGDISTRICT,"2"
1860,HOUSINGDISTRICT,"2"
1861,HOUSINGDISTRICT,"7"
1862,HOUSINGDISTRICT,"6"
1863,HOUSINGDISTRICT,"6"
1864,HOUSINGDISTRICT,"6"
1865,HOUSINGDISTRICT,"6"
1866,HOUSINGDISTRICT,"6"
1867,HOUSINGDISTRICT,"6"
1868,HOUSINGDISTRICT,"7"
1869,HOUSINGDISTRICT,"5"
1870,HOUSINGDISTRICT,"7"
1871,HOUSINGDISTRICT,"7"
1872,HOUSINGDISTRICT,"7"
1873,HOUSINGDISTRICT,"8"
1874,HOUSINGDISTRICT,"4"
1875,HOUSINGDISTRICT,"2"
1876,HOUSINGDISTRICT,"5"
1877,HOUSINGDISTRICT,"8"
